		Lht1	Lfk1
11/04/2022	00:00:00	0	0
11/04/2022	00:01:26	0	0
11/04/2022	00:02:52	0	0
11/04/2022	00:04:19	0	0
11/04/2022	00:05:45	0	0
11/04/2022	00:07:12	0	0
11/04/2022	00:08:38	0	0
11/04/2022	00:10:04	0	0
11/04/2022	00:11:31	0	0
11/04/2022	00:12:57	0	0
11/04/2022	00:14:24	0	0
11/04/2022	00:15:50	0	0
11/04/2022	00:17:16	0	0
11/04/2022	00:18:43	0	0
11/04/2022	00:20:09	0	0
11/04/2022	00:21:36	0	0
11/04/2022	00:23:02	0	0
11/04/2022	00:24:28	0	0
11/04/2022	00:25:55	0	0
11/04/2022	00:27:21	0	0
11/04/2022	00:28:48	0	0
11/04/2022	00:30:14	0	0
11/04/2022	00:31:40	0	0
11/04/2022	00:33:07	0	0
11/04/2022	00:34:33	0	0
11/04/2022	00:36:00	0	0
11/04/2022	00:37:26	0	0
11/04/2022	00:38:52	0	0
11/04/2022	00:40:19	0	0
11/04/2022	00:41:45	0	0
11/04/2022	00:43:12	0	0
11/04/2022	00:44:38	0	0
11/04/2022	00:46:04	0	0
11/04/2022	00:47:31	0	0
11/04/2022	00:48:57	0	0
11/04/2022	00:50:24	0	0
11/04/2022	00:51:50	0	0
11/04/2022	00:53:16	0	0
11/04/2022	00:54:43	0	0
11/04/2022	00:56:09	0	0
11/04/2022	00:57:36	0	0
11/04/2022	00:59:02	0	0
11/04/2022	01:00:28	0	0
11/04/2022	01:01:55	0	0
11/04/2022	01:03:21	0	0
11/04/2022	01:04:48	0	0
11/04/2022	01:06:14	0	0
11/04/2022	01:07:40	0	0
11/04/2022	01:09:07	0	0
11/04/2022	01:10:33	0	0
11/04/2022	01:12:00	0	0
11/04/2022	01:13:26	0	0
11/04/2022	01:14:52	0	0
11/04/2022	01:16:19	0	0
11/04/2022	01:17:45	0	0
11/04/2022	01:19:12	0	0
11/04/2022	01:20:38	0	0
11/04/2022	01:22:04	0	0
11/04/2022	01:23:31	0	0
11/04/2022	01:24:57	0	0
11/04/2022	01:26:24	0	0
11/04/2022	01:27:50	0	0
11/04/2022	01:29:16	0	0
11/04/2022	01:30:43	0	0
11/04/2022	01:32:09	0	0
11/04/2022	01:33:36	0	0
11/04/2022	01:35:02	0	0
11/04/2022	01:36:28	0	0
11/04/2022	01:37:55	0	0
11/04/2022	01:39:21	0	0
11/04/2022	01:40:48	0	0
11/04/2022	01:42:14	0	0
11/04/2022	01:43:40	0	0
11/04/2022	01:45:07	0	0
11/04/2022	01:46:33	0	0
11/04/2022	01:48:00	0	0
11/04/2022	01:49:26	0	0
11/04/2022	01:50:52	0	0
11/04/2022	01:52:19	0	0
11/04/2022	01:53:45	0	0
11/04/2022	01:55:12	0	0
11/04/2022	01:56:38	0	0
11/04/2022	01:58:04	0	0
11/04/2022	01:59:31	0	0
11/04/2022	02:00:57	0	0
11/04/2022	02:02:24	0	0
11/04/2022	02:03:50	0	0
11/04/2022	02:05:16	0	0
11/04/2022	02:06:43	0	0
11/04/2022	02:08:09	0	0
11/04/2022	02:09:36	0	0
11/04/2022	02:11:02	0	0
11/04/2022	02:12:28	0	0
11/04/2022	02:13:55	0	0
11/04/2022	02:15:21	0	0
11/04/2022	02:16:48	0	0
11/04/2022	02:18:14	0	0
11/04/2022	02:19:40	0	0
11/04/2022	02:21:07	0	0
11/04/2022	02:22:33	0	0
11/04/2022	02:24:00	0	0
11/04/2022	02:25:26	0	0
11/04/2022	02:26:52	0	0
11/04/2022	02:28:19	0	0
11/04/2022	02:29:45	0	0
11/04/2022	02:31:12	0	0
11/04/2022	02:32:38	0	0
11/04/2022	02:34:04	0	0
11/04/2022	02:35:31	0	0
11/04/2022	02:36:57	0	0
11/04/2022	02:38:24	0	0
11/04/2022	02:39:50	0	0
11/04/2022	02:41:16	0	0
11/04/2022	02:42:43	0	0
11/04/2022	02:44:09	0	0
11/04/2022	02:45:36	0	0
11/04/2022	02:47:02	0	0
11/04/2022	02:48:28	0	0
11/04/2022	02:49:55	0	0
11/04/2022	02:51:21	0	0
11/04/2022	02:52:48	0	0
11/04/2022	02:54:14	0	0
11/04/2022	02:55:40	0	0
11/04/2022	02:57:07	0	0
11/04/2022	02:58:33	0	0
11/04/2022	03:00:00	0	0
11/04/2022	03:01:26	0	0
11/04/2022	03:02:52	0	0
11/04/2022	03:04:19	0	0
11/04/2022	03:05:45	0	0
11/04/2022	03:07:12	0	0
11/04/2022	03:08:38	0	0
11/04/2022	03:10:04	0	0
11/04/2022	03:11:31	0	0
11/04/2022	03:12:57	0	0
11/04/2022	03:14:24	0	0
11/04/2022	03:15:50	0	0
11/04/2022	03:17:16	0	0
11/04/2022	03:18:43	0	0
11/04/2022	03:20:09	0	0
11/04/2022	03:21:36	0	0
11/04/2022	03:23:02	0	0
11/04/2022	03:24:28	0	0
11/04/2022	03:25:55	0	0
11/04/2022	03:27:21	0	0
11/04/2022	03:28:48	0	0
11/04/2022	03:30:14	0	0
11/04/2022	03:31:40	0	0
11/04/2022	03:33:07	0	0
11/04/2022	03:34:33	0	0
11/04/2022	03:36:00	0	0
11/04/2022	03:37:26	0	0
11/04/2022	03:38:52	0	0
11/04/2022	03:40:19	0	0
11/04/2022	03:41:45	0	0
11/04/2022	03:43:12	0	0
11/04/2022	03:44:38	0	0
11/04/2022	03:46:04	0	0
11/04/2022	03:47:31	0	0
11/04/2022	03:48:57	0	0
11/04/2022	03:50:24	0	0
11/04/2022	03:51:50	0	0
11/04/2022	03:53:16	0	0
11/04/2022	03:54:43	0	0
11/04/2022	03:56:09	0	0
11/04/2022	03:57:36	0	0
11/04/2022	03:59:02	0	0
11/04/2022	04:00:28	0	0
11/04/2022	04:01:55	0	0
11/04/2022	04:03:21	0	0
11/04/2022	04:04:48	0	0
11/04/2022	04:06:14	0	0
11/04/2022	04:07:40	0	0
11/04/2022	04:09:07	0	0
11/04/2022	04:10:33	0	0
11/04/2022	04:12:00	0	0
11/04/2022	04:13:26	0	0
11/04/2022	04:14:52	0	0
11/04/2022	04:16:19	0	0
11/04/2022	04:17:45	0	0
11/04/2022	04:19:12	0	0
11/04/2022	04:20:38	0	0
11/04/2022	04:22:04	0	0
11/04/2022	04:23:31	0	0
11/04/2022	04:24:57	0	0
11/04/2022	04:26:24	0	0
11/04/2022	04:27:50	0	0
11/04/2022	04:29:16	0	0
11/04/2022	04:30:43	0	0
11/04/2022	04:32:09	0	0
11/04/2022	04:33:36	0	0
11/04/2022	04:35:02	0	0
11/04/2022	04:36:28	0	0
11/04/2022	04:37:55	0	0
11/04/2022	04:39:21	0	0
11/04/2022	04:40:48	0	0
11/04/2022	04:42:14	0	0
11/04/2022	04:43:40	0	0
11/04/2022	04:45:07	0	0
11/04/2022	04:46:33	0	0
11/04/2022	04:48:00	0	0
11/04/2022	04:49:26	0	0
11/04/2022	04:50:52	0	0
11/04/2022	04:52:19	0	0
11/04/2022	04:53:45	0	0
11/04/2022	04:55:12	0	0
11/04/2022	04:56:38	0	0
11/04/2022	04:58:04	0	0
11/04/2022	04:59:31	0	0
11/04/2022	05:00:57	0	0
11/04/2022	05:02:24	0	0
11/04/2022	05:03:50	0	0
11/04/2022	05:05:16	0	0
11/04/2022	05:06:43	0	0
11/04/2022	05:08:09	0	0
11/04/2022	05:09:36	0	0
11/04/2022	05:11:02	0	0
11/04/2022	05:12:28	0	0
11/04/2022	05:13:55	0	0
11/04/2022	05:15:21	0	0
11/04/2022	05:16:48	0	0
11/04/2022	05:18:14	0	0
11/04/2022	05:19:40	0	0
11/04/2022	05:21:07	0	0
11/04/2022	05:22:33	0	0
11/04/2022	05:24:00	0	0
11/04/2022	05:25:26	0	0
11/04/2022	05:26:52	0	0
11/04/2022	05:28:19	0	0
11/04/2022	05:29:45	0	0
11/04/2022	05:31:12	0	0
11/04/2022	05:32:38	0	0
11/04/2022	05:34:04	0	0
11/04/2022	05:35:31	0	0
11/04/2022	05:36:57	0	0
11/04/2022	05:38:24	0	0
11/04/2022	05:39:50	0	0
11/04/2022	05:41:16	0	0
11/04/2022	05:42:43	0	0
11/04/2022	05:44:09	0	0
11/04/2022	05:45:36	0	0
11/04/2022	05:47:02	0	0
11/04/2022	05:48:28	0	0
11/04/2022	05:49:55	0	0
11/04/2022	05:51:21	0	0
11/04/2022	05:52:48	0	0
11/04/2022	05:54:14	0	0
11/04/2022	05:55:40	0	0
11/04/2022	05:57:07	0	0
11/04/2022	05:58:33	0	0
11/04/2022	06:00:00	0	0
11/04/2022	06:01:26	0	0
