		Lht1	Lfk1
14/03/2022	00:40:23	0	0
14/03/2022	00:40:36	0	0
14/03/2022	00:40:49	0	0
14/03/2022	00:41:02	0	0
14/03/2022	00:41:15	0	0
14/03/2022	00:41:28	0	0
14/03/2022	00:41:41	0	0
14/03/2022	00:41:54	0	0
14/03/2022	00:42:07	0	0
14/03/2022	00:42:20	0	0
14/03/2022	00:42:33	0	0
14/03/2022	00:42:46	0	0
14/03/2022	00:42:59	0	0
14/03/2022	00:43:12	0	0
14/03/2022	00:43:24	0	0
14/03/2022	00:43:37	0	0
14/03/2022	00:43:50	0	0
14/03/2022	00:44:03	0	0
14/03/2022	00:44:16	0	0
14/03/2022	00:44:29	0	0
14/03/2022	00:44:42	0	0
14/03/2022	00:44:55	0	0
14/03/2022	00:45:08	0	0
14/03/2022	00:45:21	0	0
14/03/2022	00:45:34	0	0
14/03/2022	00:45:47	0	0
14/03/2022	00:46:00	0	0
14/03/2022	00:46:13	0	0
14/03/2022	00:46:26	0	0
14/03/2022	00:46:39	0	0
14/03/2022	00:46:52	0	0
14/03/2022	00:47:05	0	0
14/03/2022	00:47:18	0	0
14/03/2022	00:47:31	0	0
14/03/2022	00:47:44	0	0
14/03/2022	00:47:57	0	0
14/03/2022	00:48:10	0	0
14/03/2022	00:48:23	0	0
14/03/2022	00:48:36	0	0
14/03/2022	00:48:48	0	0
14/03/2022	00:49:01	0	0
14/03/2022	00:49:14	0	0
14/03/2022	00:49:27	0	0
14/03/2022	00:49:40	0	0
14/03/2022	00:49:53	0	0
14/03/2022	00:50:06	0	0
14/03/2022	00:50:19	0	0
14/03/2022	00:50:32	0	0
14/03/2022	00:50:45	0	0
14/03/2022	00:50:58	0	0
14/03/2022	00:51:11	0	0
14/03/2022	00:51:24	0	0
14/03/2022	00:51:37	0	0
14/03/2022	00:51:50	0	0
14/03/2022	00:52:03	0	0
14/03/2022	00:52:16	0	0
14/03/2022	00:52:29	0	0
14/03/2022	00:52:42	0	0
14/03/2022	00:52:55	0	0
14/03/2022	00:53:08	0	0
14/03/2022	00:53:21	0	0
14/03/2022	00:53:34	0	0
14/03/2022	00:53:47	0	0
14/03/2022	00:54:00	0	0
14/03/2022	00:54:12	0	0
14/03/2022	00:54:25	0	0
14/03/2022	00:54:38	0	0
14/03/2022	00:54:51	0	0
14/03/2022	00:55:04	0	0
14/03/2022	00:55:17	0	0
14/03/2022	00:55:30	0	0
14/03/2022	00:55:43	0	0
14/03/2022	00:55:56	0	0
14/03/2022	00:56:09	0	0
14/03/2022	00:56:22	0	0
14/03/2022	00:56:35	0	0
14/03/2022	00:56:48	0	0
14/03/2022	00:57:01	0	0
14/03/2022	00:57:14	0	0
14/03/2022	00:57:27	0	0
14/03/2022	00:57:40	0	0
14/03/2022	00:57:53	0	0
14/03/2022	00:58:06	0	0
14/03/2022	00:58:19	0	0
14/03/2022	00:58:32	0	0
14/03/2022	00:58:45	0	0
14/03/2022	00:58:58	0	0
14/03/2022	00:59:11	0	0
14/03/2022	00:59:24	0	0
14/03/2022	00:59:36	0	0
14/03/2022	00:59:49	0	0
14/03/2022	01:00:02	0	0
14/03/2022	01:00:15	0	0
14/03/2022	01:00:28	0	0
14/03/2022	01:00:41	0	0
14/03/2022	01:00:54	0	0
14/03/2022	01:01:07	0	0
14/03/2022	01:01:20	0	0
14/03/2022	01:01:33	0	0
14/03/2022	01:01:46	0	0
14/03/2022	01:01:59	0	0
14/03/2022	01:02:12	0	0
14/03/2022	01:02:25	0	0
14/03/2022	01:02:38	0	0
14/03/2022	01:02:51	0	0
14/03/2022	01:03:04	0	0
14/03/2022	01:03:17	0	0
14/03/2022	01:03:30	0	0
14/03/2022	01:03:43	0	0
14/03/2022	01:03:56	0	0
14/03/2022	01:04:09	0	0
14/03/2022	01:04:22	0	0
14/03/2022	01:04:35	0	0
14/03/2022	01:04:48	0	0
14/03/2022	01:05:00	0	0
14/03/2022	01:05:13	0	0
14/03/2022	01:05:26	0	0
14/03/2022	01:05:39	0	0
14/03/2022	01:05:52	0	0
14/03/2022	01:06:05	0	0
14/03/2022	01:06:18	0	0
14/03/2022	01:06:31	0	0
14/03/2022	01:06:44	0	0
14/03/2022	01:06:57	0	0
14/03/2022	01:07:10	0	0
14/03/2022	01:07:23	0	0
14/03/2022	01:07:36	0	0
14/03/2022	01:07:49	0	0
14/03/2022	01:08:02	0	0
14/03/2022	01:08:15	0	0
14/03/2022	01:08:28	0	0
14/03/2022	01:08:41	0	0
14/03/2022	01:08:54	0	0
14/03/2022	01:09:07	0	0
14/03/2022	01:09:20	0	0
14/03/2022	01:09:33	0	0
14/03/2022	01:09:46	0	0
14/03/2022	01:09:59	0	0
14/03/2022	01:10:12	0	0
14/03/2022	01:10:24	0	0
14/03/2022	01:10:37	0	0
14/03/2022	01:10:50	0	0
14/03/2022	01:11:03	0	0
14/03/2022	01:11:16	0	0
14/03/2022	01:11:29	0	0
14/03/2022	01:11:42	0	0
14/03/2022	01:11:55	0	0
14/03/2022	01:12:08	0	0
14/03/2022	01:12:21	0	0
14/03/2022	01:12:34	0	0
14/03/2022	01:12:47	0	0
14/03/2022	01:13:00	0	0
14/03/2022	01:13:13	0	0
14/03/2022	01:13:26	0	0
14/03/2022	01:13:39	0	0
14/03/2022	01:13:52	0	0
14/03/2022	01:14:05	0	0
14/03/2022	01:14:18	0	0
14/03/2022	01:14:31	0	0
14/03/2022	01:14:44	0	0
14/03/2022	01:14:57	0	0
14/03/2022	01:15:10	0	0
14/03/2022	01:15:23	0	0
14/03/2022	01:15:36	0	0
14/03/2022	01:15:48	0	0
14/03/2022	01:16:01	0	0
14/03/2022	01:16:14	0	0
14/03/2022	01:16:27	0	0
14/03/2022	01:16:40	0	0
14/03/2022	01:16:53	0	0
14/03/2022	01:17:06	0	0
14/03/2022	01:17:19	0	0
14/03/2022	01:17:32	0	0
14/03/2022	01:17:45	0	0
14/03/2022	01:17:58	0	0
14/03/2022	01:18:11	0	0
14/03/2022	01:18:24	0	0
14/03/2022	01:18:37	0	0
14/03/2022	01:18:50	0	0
14/03/2022	01:19:03	0	0
14/03/2022	01:19:16	0	0
14/03/2022	01:19:29	0	0
14/03/2022	01:19:42	0	0
14/03/2022	01:19:55	0	0
14/03/2022	01:20:08	0	0
14/03/2022	01:20:21	0	0
14/03/2022	01:20:34	0	0
14/03/2022	01:20:47	0	0
14/03/2022	01:21:00	0	0
14/03/2022	01:21:12	0	0
14/03/2022	01:21:25	0	0
14/03/2022	01:21:38	0	0
14/03/2022	01:21:51	0	0
14/03/2022	01:22:04	0	0
14/03/2022	01:22:17	0	0
14/03/2022	01:22:30	0	0
14/03/2022	01:22:43	0	0
14/03/2022	01:22:56	0	0
14/03/2022	01:23:09	0	0
14/03/2022	01:23:22	0	0
14/03/2022	01:23:35	0	0
14/03/2022	01:23:48	0	0
14/03/2022	01:24:01	0	0
14/03/2022	01:24:14	0	0
14/03/2022	01:24:27	0	0
14/03/2022	01:24:40	0	0
14/03/2022	01:24:53	0	0
14/03/2022	01:25:06	0	0
14/03/2022	01:25:19	0	0
14/03/2022	01:25:32	0	0
14/03/2022	01:25:45	0	0
14/03/2022	01:25:58	0	0
14/03/2022	01:26:11	0	0
14/03/2022	01:26:24	0	0
14/03/2022	01:26:36	0	0
14/03/2022	01:26:49	0	0
14/03/2022	01:27:02	0	0
14/03/2022	01:27:15	0	0
14/03/2022	01:27:28	0	0
14/03/2022	01:27:41	0	0
14/03/2022	01:27:54	0	0
14/03/2022	01:28:07	0	0
14/03/2022	01:28:20	0	0
14/03/2022	01:28:33	0	0
14/03/2022	01:28:46	0	0
14/03/2022	01:28:59	0	0
14/03/2022	01:29:12	0	0
14/03/2022	01:29:25	0	0
14/03/2022	01:29:38	0	0
14/03/2022	01:29:51	0	0
14/03/2022	01:30:04	0	0
14/03/2022	01:30:17	0	0
14/03/2022	01:30:30	0	0
14/03/2022	01:30:43	0	0
14/03/2022	01:30:56	0	0
14/03/2022	01:31:09	0	0
14/03/2022	01:31:22	0	0
14/03/2022	01:31:35	0	0
14/03/2022	01:31:48	0	0
14/03/2022	01:32:00	0	0
14/03/2022	01:32:13	0	0
14/03/2022	01:32:26	0	0
14/03/2022	01:32:39	0	0
14/03/2022	01:32:52	0	0
14/03/2022	01:33:05	0	0
14/03/2022	01:33:18	0	0
14/03/2022	01:33:31	0	0
14/03/2022	01:33:44	0	0
14/03/2022	01:33:57	0	0
14/03/2022	01:34:10	0	0
14/03/2022	01:34:23	0	0
14/03/2022	01:34:36	0	0
